fips,name_16,County,LessThanHighSchool,AtLeastHighSchool,AtLeastBS,GraduateDegreee,School_Enrollment,MedianEarnings,WhitePopulation,AfricanAmericanPopulation,NativeAmericanPopulation,AsianAmericanPopulatyion,OtherRaces,LatinoPopulation,ChildrenUnder6LivinginPoverty,Adults65andOlderLivinginPoverty,TotalPopulation,PreschoolEnrollmentRatioenrolledages3and4,PovertyRatebelowfederalpoverty.hreshold,GiniCoefficient,ChildPovertylivinginfamiliesbelowthepovertyline,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,State,White,Black,Hispanic,Asian,Amerindian,Other,White_Asian,SIRE_homogeneity,median_age,lon,lat,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity.percent,Adult.obesity.population,Diabetes.percent,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,CA,S,MAR,CFS,ACFS,MeanALC,MaxALC,Mixedness,elevation,annual_PRCP,winter_PRCP,summer_PRCP,spring_PRCP,autumn_PRCP,annual_TAVG,annual_TMAX,annual_TMIN,winter_TAVG,winter_TMAX,winter_TMIN,summer_TAVG,summer_TMAX,summer_TMIN,spring_TAVG,spring_TMAX,spring_TMIN,autumn_TAVG,autumn_TMAX,autumn_TMIN,nearest_county,temp,precip,temp_bins,lat_bins,lon_bins,precip_bins,elevation_bins
1031,Coffee,"Coffee County, Alabama",20.7,79.3,22.1,8.5,71.15,26346.66,73.3,17.25,0.95,1.15,2.1,5.25,26.6,13.4,48375,30.8,16.65,0.452,25.7,31.6,13.2,24.35,2,12.65,16.2,Alabama,73.3,17.25,5.25,1.15,0.95,2.1,74.45,0.570465,37.9,-85.9892014,31.4021833,3.5,3.6,0.09,48.8,0.363,0.177,0.299,14464,0.126,572,140.3,0.173,0.062,343.89,3.31,67.9,9.3,-0.313489134,-0.552724801,0.522289507,2.35E-05,2.35E-05,3.25E-05,1.80E-04,-0.718490878,81.05,5617.5,1463.5,1583,1408,1163,,,,,,,,,,,,,,,,1031,,1426.845,,"[19.6,31.7]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(38.9,105]"
1033,Colbert,"Colbert County, Alabama",19.9,80.1,16.4,5.9,74.75,25896.27111,80,16,0.5,0.4,1.35,1.8,28.7,9.2,54487,30.9,14.85,0.435,21.65,27.55,14.9,26.95,0.5,11.45,18.6,Alabama,80,16,1.8,0.4,0.5,1.35,80.4,0.66614725,41.6,-87.8014569,34.703112,4.4,4.8,0.1,53.2,0.331,0.296,0.322,17545,0.137,598,111.1,0.15,0.076,364.67,6.04,77.1,8.5,-0.630129704,-0.764449983,0.53739085,1.30E-05,1.30E-05,4.58E-05,2.21E-04,-0.721445703,,,,,,,,,,,,,,,,,,,,,,,,,,"(33.8,35.6]","(-90.4,-87.2]",,
1035,Conecuh,"Conecuh County, Alabama",28.7,71.3,9.7,4.3,73.5,22600.38349,52.7,45.3,0.45,0.05,0.75,0.7,50.25,19.95,13171,32.5,29.8,0.484,45.95,23.7,15.3,24.7,1.2,11.5,23.55,Alabama,52.7,45.3,0.7,0.05,0.45,0.75,52.75,0.48306375,43.4,-86.9920291,31.4282925,4.4,5.2,0.12,54.8,0.479,0.229,0.363,4781,0.177,663.9,280.5,0.19,0.116,603.53,10.66,116.5,,-1.667808151,-2.283604588,0.654570573,-1.98E-04,1.98E-04,3.38E-04,7.15E-04,1.010456896,83.5,6009,1566.5,1730,1458,1254.5,650,769,531.5,492.5,611,374,799,905,692.5,646,774.5,517,660,781,539.5,1035,18.33333333,1526.286,"(16.6,18.5]","[19.6,31.7]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(38.9,105]"
1037,Coosa,"Coosa County, Alabama",26.9,73.1,10.6,4.8,70.05,23083.6273,66.1,31.65,0.15,0.05,0.9,1.05,30.1,17.25,11158,25.6,18.05,0.443,23.4,19.55,18.2,21.65,1.45,12.6,26.5,Alabama,66.1,31.65,1.05,0.05,0.15,0.9,66.15,0.537287,43.8,-86.2434818,32.9314453,4,4.6,0.12,48.6,0.416,0.3,0.343,3827,0.156,700.1,132.7,0.161,0.082,269.81,,101.2,,-2.489371346,-1.569253476,0.706430845,-7.89E-05,7.89E-05,1.72E-04,4.97E-04,0.111810459,144.8,5436,1562,1295,1371.5,1207.5,,,,,,,,,,,,,,,,1037,,1380.744,,"(31.7,33.8]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(105,167]"
1039,Covington,"Covington County, Alabama",23.5,76.5,13.1,4.8,73.6,21645.97937,84.25,12.45,0.55,0.4,1.15,1.2,34.95,12.45,37226.5,46.2,18.55,0.475,28.5,24.8,14.65,24,2.65,14.15,19.75,Alabama,84.25,12.45,1.2,0.4,0.55,1.15,84.65,0.725629,42.1,-86.4487206,31.2439873,4.2,5.2,0.1,69.2,0.394,0.287,0.338,12583,0.137,449.3,130.4,0.177,0.075,311.85,4.2,83,8.5,-0.313749959,-1.187601033,0.528453842,-2.54E-05,2.54E-05,9.09E-05,3.28E-04,-0.569122385,88.8,,,,,,661.3333333,781.3333333,540.3333333,508,630.6666667,385.3333333,804.6666667,910.6666667,699.3333333,656.3333333,786.6666667,526,671.6666667,795,548.6666667,1039,18.96296296,,"(18.5,25.2]","[19.6,31.7]","(-87.2,-84.5]",,"(38.9,105]"
1041,Crenshaw,"Crenshaw County, Alabama",26.3,73.7,10.1,3.9,78.6,22051.82699,72.25,22.5,0.5,2.2,1.3,1.3,32.15,17.6,13796.5,29.9,19.8,0.466,28.15,27.15,15.55,22.1,3.4,11.85,19.95,Alabama,72.25,22.5,1.3,2.2,0.5,1.3,74.45,0.57347825,39.5,-86.3192219,31.7328256,4,3.8,0.09,53.6,0.45,0.166,0.357,4925,0.148,553.5,176.4,0.192,0.072,357.87,,86.1,,-1.497214525,-1.281410695,0.547421706,-1.86E-05,1.86E-05,1.09E-04,4.23E-04,-0.538242484,159.55,,,,,,631,748,514.5,469,583,355.5,782,891,673,625.5,750,501,645.5,764.5,526,1041,17.27777778,,"(16.6,18.5]","[19.6,31.7]","(-87.2,-84.5]",,"(105,167]"
1043,Cullman,"Cullman County, Alabama",23.1,76.9,13.8,5.4,74,24292.58699,92.9,1.1,0.45,0.35,1.05,4.1,24.45,13.45,80518,36.9,16.65,0.445,21.65,25.3,15,23.3,1.35,14.6,20.45,Alabama,92.9,1.1,4.1,0.35,0.45,1.05,93.25,0.86498575,39.5,-86.8692666,34.1319229,3.9,4.4,0.09,55.9,0.271,0.22,0.324,26088,0.13,321.6,58.8,0.179,0.064,181.25,3.05,79.6,7.2,-0.196613768,-0.610486749,0.481440708,2.11E-05,2.11E-05,3.55E-05,1.14E-04,-0.776691951,239.62,,,,,,602.2,720.6,484.2,423,534,311.8,770.6,883.4,658.4,598.8,723,474.4,613,737.8,488.4,1043,15.67777778,,"(14.9,16.6]","(33.8,35.6]","(-87.2,-84.5]",,"(216,259]"
1045,Dale,"Dale County, Alabama",17.8,82.2,17.5,5.6,67.75,25547.52032,71.45,19.55,0.55,1.2,2.4,4.85,16.9,10.85,49242,37,14.5,0.424,19.05,26.7,17.4,23.4,0.7,16.05,15.65,Alabama,71.45,19.55,4.85,1.2,0.55,2.4,72.65,0.551833,35.8,-85.609476,31.4306536,4.9,3.9,0.09,50.5,0.316,0.212,0.353,17382,0.139,577.5,317.3,0.156,0.073,417.94,5.77,68,6.9,-1.353703572,-0.55618247,0.576018007,2.78E-05,2.78E-05,3.01E-05,1.66E-04,-0.632946306,114,5397,1379,1603,1296,1119,665,779,552,510,624,396,809,910,708,663,783,542,676,794,558,1045,19.16666667,1370.838,"(18.5,25.2]","[19.6,31.7]","(-87.2,-84.5]","(1.27e+03,1.39e+03]","(105,167]"
1047,Dallas,"Dallas County, Alabama",23.2,76.8,14.3,6,76.6,21582.38032,30.3,67.95,0.2,0.35,0.45,0.75,53.35,26.85,43284,43.1,31.9,0.515,47.05,25.55,15.75,22,1.15,9.3,26.25,Alabama,30.3,67.95,0.75,0.35,0.2,0.45,30.65,0.553622,36.8,-87.1143556,32.3335397,3.9,3.6,0.13,74.6,0.653,0.206,0.414,17920,0.151,1262.3,362.5,0.159,0.137,794.32,19.7,80.8,8.6,-2.363349306,-2.618937495,1.297324283,-1.71E-04,1.71E-04,6.39E-04,0.001457974,2.388453284,54.82,,,,,,,,,,,,,,,,,,,,,1047,,,,"(31.7,33.8]","(-87.2,-84.5]",,"(38.9,105]"
1049,DeKalb,"DeKalb County, Alabama",31.9,68.1,10.9,4.7,70.8,22197.79492,83.5,1.45,1.05,0.25,1.6,12.05,37.8,17.05,69646,17.7,20.45,0.454,28.45,21.55,13.05,20.3,1.7,12.9,30.45,Alabama,83.5,1.45,12.05,0.25,1.05,1.6,83.75,0.712328,37,-85.803992,34.460929,4.7,4.9,0.09,60.4,0.337,0.18,0.324,22565,0.129,207.4,76.2,0.233,0.085,169.35,2.68,78.3,7.7,-1.496215927,-1.175851615,0.759465835,1.63E-05,1.63E-05,1.77E-04,5.50E-04,-0.120998253,329.18,,,,,,592.4,703.2,480.8,412.6,517,307.6,763,869.4,657.4,584.8,702.2,467.6,605.4,722.2,488.4,1049,15.13333333,,"(14.9,16.6]","(33.8,35.6]","(-87.2,-84.5]",,"(317,396]"
1051,Elmore,"Elmore County, Alabama",16.2,83.8,20.2,6.9,72.9,28575.60286,74.85,20.65,0.35,0.55,1.35,2.25,18.3,10.2,78008.5,45.8,12.75,0.405,17.4,32.65,14.5,26.1,0.15,12.4,14.2,Alabama,74.85,20.65,2.25,0.55,0.35,1.35,75.4,0.6036255,37.3,-86.1427385,32.5972286,4.4,4.4,0.09,42.3,0.302,0.214,0.306,23871,0.123,499,224.1,0.14,0.068,142.74,6.2,78.1,7.4,-0.973799696,-0.206344884,0.488425801,2.04E-05,2.04E-05,2.29E-05,1.19E-04,-0.799518035,73.53333333,4879.333333,1375.666667,1239.333333,1235,1029.333333,,,,,,,,,,,,,,,,1051,,1239.350667,,"(31.7,33.8]","(-87.2,-84.5]","(1.19e+03,1.27e+03]","(38.9,105]"
1053,Escambia,"Escambia County, Alabama",27,73,10.9,3.6,71.25,22205.59588,61.8,31.55,3.45,0.3,1.15,1.65,43.45,15.15,37940,28.5,23.6,0.464,36.9,24.9,19.55,23.3,1.35,13.7,17.2,Alabama,61.8,31.55,1.65,0.3,3.45,1.15,62.1,0.483068,38.3,-87.168429,31.1217475,5.2,4.7,0.11,69.8,0.506,0.209,0.369,14000,0.132,567,163,0.193,0.089,537.7,9.42,104.2,10.2,-1.086283703,-1.839797603,0.390028555,-1.44E-04,1.44E-04,1.76E-04,4.93E-04,0.036694012,54.475,,,,,,654.25,773.25,535.25,500,619.75,380.5,798.75,904,693.5,650,778,522.25,665,787.25,542.5,1053,18.56944444,,"(18.5,25.2]","[19.6,31.7]","(-87.2,-84.5]",,"(38.9,105]"
1055,Etowah,"Etowah County, Alabama",18.8,81.2,15.8,5.9,73.15,25186.66159,80,14.7,0.3,0.55,1.3,3.1,31,11.65,103790,42.8,16.55,0.453,24.05,29.45,16.7,23.35,0.55,10.65,19.35,Alabama,80,14.7,3.1,0.55,0.3,1.3,80.55,0.66277825,40,-86.0344203,34.0476377,5.2,5,0.09,54.6,0.359,0.26,0.318,33005,0.141,569.5,148,0.169,0.072,434.65,7.43,78.2,9.9,-0.9281747,-0.982470517,0.452254764,-1.18E-05,1.18E-05,4.93E-05,1.29E-04,-0.829803547,215.65,5523.5,1518.5,1312,1444,1249,,,,,,,,,,,,,,,,1055,,1402.969,,"(33.8,35.6]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(167,216]"
1057,Fayette,"Fayette County, Alabama",25.3,74.7,9.5,3.7,74.5,23459.0254,85.65,11.35,0.2,0.15,1.45,1.15,16.65,14.55,17446,37.9,17,0.418,20.25,25.1,13.25,19.4,1.9,10.95,29.4,Alabama,85.65,11.35,1.15,0.15,0.2,1.45,85.8,0.74682325,42.4,-87.7520486,33.7322485,5.6,5.2,0.1,49.5,0.334,0.141,0.364,6350,0.158,355,93.9,0.159,0.08,138.94,,114.4,,-0.763120158,-1.032486837,0.863294767,3.82E-05,3.82E-05,1.12E-04,4.47E-04,-0.025342897,137.2666667,5806.333333,1654.666667,1349,1542.333333,1260.333333,,,,,,,,,,,,,,,,1057,,1474.808667,,"(31.7,33.8]","(-90.4,-87.2]","(1.39e+03,4.3e+03]","(105,167]"
1059,Franklin,"Franklin County, Alabama",30.4,69.6,11.8,4.2,68.9,21582.97016,80.3,3.8,0.45,0.2,1.15,14.15,25.85,13.6,31275.5,24.3,18.95,0.454,23.55,21.4,14.05,21.7,1.8,13.5,27.55,Alabama,80.3,3.8,14.15,0.2,0.45,1.15,80.5,0.66643175,38.5,-87.8428147,34.4419884,5,4.4,0.09,65.9,0.324,0.245,0.343,10727,0.142,279.1,50.4,0.21,0.082,275.89,,92.4,10.4,-0.174926836,-1.284200263,0.651386021,-2.81E-05,2.81E-05,1.49E-04,4.53E-04,-0.265758817,236.25,,,,,,598,713.5,482.5,415.5,522,309,771.5,881,661.5,594,714.5,473,608.5,732,484.5,1059,15.44444444,,"(14.9,16.6]","(33.8,35.6]","(-90.4,-87.2]",,"(216,259]"
1061,Geneva,"Geneva County, Alabama",27.7,72.3,8,2.9,70,20403.67143,84.95,9.85,0.5,0.25,1.4,2.95,26.1,11.1,26295,30.7,16.2,0.456,19.1,23.35,15.5,22.9,1.45,16.35,20.5,Alabama,84.95,9.85,2.95,0.25,0.5,1.4,85.2,0.73245,42.2,-85.8243464,31.0908664,4.3,3.4,0.09,52.3,0.433,0.325,0.34,8940,0.136,429.4,143.8,0.184,0.069,352.5,8.13,88.9,,-1.556446263,-1.187432413,0.65095945,-2.47E-05,2.47E-05,1.00E-04,2.43E-04,-0.393094417,44.2,5911,1553,1662,1395,1301,657,782,531,501,630,372,801,911,691,653,788,518,669,797,541,1061,18.72222222,1501.394,"(18.5,25.2]","[19.6,31.7]","(-87.2,-84.5]","(1.39e+03,4.3e+03]","(38.9,105]"
